molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL201206,O=C(O)CC(Cc1ccccc1)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,600.0
CHEMBL379247,O=C(O)CC(CC1CCCC1)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,320.0
CHEMBL201298,CCCCCCC(CC(=O)O)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,450.0
CHEMBL202875,CCC(CC(=O)O)C(=O)c1ccc(C#Cc2ccccc2)cc1,active,480.0
CHEMBL203139,CCC(CC(=O)O)C(=O)c1ccc(C#CCOCc2ccccc2)cc1,intermediate,7560.0
CHEMBL199314,O=C(O)CCC(=O)c1ccc(C#CCOCc2ccccc2)cc1,inactive,25740.0
CHEMBL373275,CCCCCCCCC#Cc1ccc(C(=O)CCC(=O)O)cc1,inactive,12480.0
CHEMBL203199,O=C(O)CCC(=O)c1ccc(C#CCO)cc1,inactive,24690.0
CHEMBL230806,Nc1nc2ccnc(-c3cc(Br)c(Br)[nH]3)c2[nH]1,intermediate,3660.0
CHEMBL394363,Brc1cc(-c2nccc3[nH]cnc23)[nH]c1Br,inactive,43600.0
CHEMBL230085,CN(C)c1nc2c(-c3cc(Br)c(Br)[nH]3)nccc2[nH]1,inactive,100000.0
CHEMBL230084,CNc1nc2c(-c3cc(Br)c(Br)[nH]3)nccc2n1C,inactive,100000.0
CHEMBL394362,Cn1c(N)nc2c(-c3cc(Br)c(Br)[nH]3)nccc21,inactive,56900.0
CHEMBL395712,CNc1nc2c(-c3cc(Br)c(Br)[nH]3)nccc2[nH]1,inactive,10400.0
CHEMBL230196,Cn1c(-c2nccc3[nH]c(N)nc23)cc(Br)c1Br,inactive,100000.0
CHEMBL230194,Nc1nc2c(-c3ccc[nH]3)nccc2[nH]1,inactive,100000.0
CHEMBL395799,Nc1nc2c(-c3ccc(Br)[nH]3)nccc2[nH]1,inactive,100000.0
CHEMBL231012,Nc1nc2c(-c3cc(Br)c[nH]3)nccc2[nH]1,inactive,100000.0
CHEMBL12318,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,inactive,121000.0
